ONNX Operator Name,Map Description & Graph Fusion Description,HBIR Operator Name,BPU Support Constraints
ConvTranspose,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    w: mlir.Value,
    b: Optional[mlir.Value] = None,
    *,
    auto_pad=""NOTSET"",
    dilations=(1, 1),
    group=1,
    kernel_shape=None,
    output_padding=None,
    output_shape=None,
    pads=(0, 0, 0, 0),
    strides=(1, 1),
):
    auto_pad = auto_pad if type(auto_pad) == str else auto_pad.decode()
    if auto_pad != ""NOTSET"":
        raise ValueError(
            f""Operator ConvTranspose does not support auto_pad with value: {auto_pad}""
        )

    if output_padding is not None:
        for idx, p in enumerate(output_padding):
            pads[(len(pads) // 2) + idx] -= p

    kernel_dim = len(kernel_shape)
    if (kernel_dim != 1) and (kernel_dim != 2) and (kernel_dim != 3):
        raise ValueError(
            f""Only support ConvTranspose 1D, ConvTranspose 2D and 3d Operator, got kernel_dim={kernel_dim}""
        )
    # input trans: nc(d)hw->n(d)hwc
    # output trans: n(d)hwc->nc(d)hw
    x = nchw_to_nhwc(x)
    w = nchw_to_nhwc(w)
    x = hbir.convtranspose(
        x,
        weight=w,
        stride=strides,
        pad=pads,
        dilation=dilations,
        groupNum=group,
        bias=b,
        illegalWeight=True,
    )
    x = nhwc_to_nchw(x)
    return x","hbir.convtranspose
","{'hbir.convtranspose': {'input': ['{Type: int8, int16; input and weight cannot both be int16}\n{1d_Shape: [*,W,C]}\n{1d_Dim: * ∈ [1, 128]; W ∈ [1, 65536]; C ∈ [1, 2048]}\n{2d_Shape: [*,H,W,C]}\n{2d_Dim: * ∈ [1, 128]; H,W ∈ [1, 65536]; C ∈ [1, 2048]}'], 'weight': ['{Type: int8, int16; input and weight cannot both be int16}\n{1d_Shape: [N,KW,C]}\n{1d_Dim: N,C ∈ [1, 2048]; KW ∈ [1, 14]}\n{1d_Size: KW × C ∈ [1, 65536]}\n{2d_Shape: [N,KH,KW,C]}\n{2d_Dim: N,C ∈ [1, 2048]; KH,KW ∈ [1, 14]; KH,KW cannot both be 1}\n{2d_Size: KH × KW × C ∈ [1, 65536]}'], 'bias': ['{Type: f32}'], 'output': ['{Same as input, the type additionally supports int32}'], 'stride': ['{1d_Shape: [SW]}\n{1d_Dim: SW ∈ [1, 14];}\n{2d_Shape: [SH,SW]}\n{2d_Dim: SH,SW ∈ [1, 14];}'], 'pad': ['{1d_Shape: [P_left,P_bottom]}\n{1d_Dim: P_left,P_bottom ∈ [0, 256]}\n{2d_Shape: [P_top,P_left,P_bottom,P_right]}\n{2d_Dim: P_top,P_left,P_bottom,P_right ∈ [0, 256]}'], 'dilation': ['{1d_Shape: [DW]}\n{1d_Dim: DW ∈ {1}}\n{2d_Shape: [DH,DW]}\n{2d_Dim: DH,DW ∈ {1}}']}}"
DepthToSpace,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    *,
    blocksize,
):
    input_dim = len(adaptor.operands[0].type.shape)
    if input_dim != 4:
        raise ValueError(
            f""Operator DepthToSpace does not support input_dim not euqal to 4, got {input_dim}""
        )
    n, c, h, w = adaptor.operands[0].type.shape
    if c % (blocksize**2) != 0:
        raise ValueError(
            ""The channel of the input shape must be divisible by the square of blocksize.""
        )
    x = hbir.reshape(x, (n, blocksize, blocksize, c // (blocksize**2), h, w))
    x = hbir.transpose(x, [0, 3, 4, 1, 5, 2])
    return hbir.reshape(
        x,
        (n, c // (blocksize**2), h * blocksize, w * blocksize),
        output_type=y,
    )","hbir.reshape
hbir.transpose
hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Div,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, output_type: mlir.Type, a: mlir.Value, b: mlir.Value
):
    return hbir.div(a, b, output_type=output_type)","hbir.div
",{'hbir.div': 'Unsupported'}
ELU,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value, *, alpha: float = 1.0
):
    return hbir.elu(x, alpha=alpha, output_type=y)","hbir.elu
",{'hbir.elu': 'Unsupported'}
Equal,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, lhs: mlir.Value, rhs: mlir.Value
):
    return hbir.equal(lhs, rhs, output_type=y)","hbir.equal
","{'hbir.equal': {'lhs': ['{Type: int8, int16, bool8}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Type: bool8}']}}"
Exp,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
):
    return hbir.exp(
        x,
        output_type=y,
    )","hbir.exp
","{'hbir.exp': {'input': ['{Type: int8, int16}\n{Shape: [*]}'], 'output': ['{Same as input}']}}"
Expand,"//opset9
def emit_mlir_op(
    self, adaptor: NodeAdaptor, y: mlir.Type, data: mlir.Value, shape: mlir.Value
):
    original_shape = adaptor.operands[0].type.shape
    new_shape = adaptor.operands[1].value
    original_shape = [
        1,
    ] * (len(new_shape) - len(original_shape)) + original_shape

    repeat_list = []
    for i in range(len(original_shape)):
        if (
            original_shape[i] != new_shape[i]
            and original_shape[i] != 1
            and new_shape[i] != 1
        ):
            raise ValueError(
                f""Operator Expand does not support this shape. original_shape: {original_shape}, new_shape: {new_shape}""
            )
        if original_shape[i] == 1:
            repeat_list.append(new_shape[i])
        else:
            repeat_list.append(1)
    data = hbir.reshape(
        data,
        original_shape,
        output_type=mlir.UnrankedTensorType.get(mlir.ShapedType(y).element_type),
    )
    return hbir.tile(data, repeat_list, output_type=y)","hbir.reshape
hbir.tile
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.tile': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
EyeLike,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    input: mlir.Value,
    *,
    dtype: Optional[int] = None,
    k: int = 0,
):
    input_shape = adaptor.operands[0].type.shape
    if len(input_shape) != 2:
        raise ValueError(
            ""Input tensor must be 2D. Received shape: {}"".format(input_shape)
        )
    row = input_shape[0]
    col = input_shape[1]
    numpy_type_dict = {
        ""i8"": np.uint8,
        ""i16"": np.uint16,
        ""i32"": np.uint32,
        ""si8"": np.int8,
        ""si16"": np.int16,
        ""si32"": np.int32,
        ""si64"": np.int64,
        ""f16"": np.float16,
        ""f32"": np.float32,
        # ""f64"": np.float64, do not support f64
        # ""bool"": np.bool, do not support bool
    }
    onnx_type_to_numpy_type_dict = {
        1: np.float32,
        2: np.uint8,
        3: np.int8,
        4: np.uint16,
        5: np.int16,
        6: np.int32,
        7: np.int64,
        10: np.float16,
        11: np.double,
        12: np.uint32,
        13: np.uint64,
    }
    for key in numpy_type_dict:
        if key in str(input.type):
            x_base_type = numpy_type_dict[key]
    if dtype in onnx_type_to_numpy_type_dict:
        np_dtype = onnx_type_to_numpy_type_dict[dtype]
    else:
        np_dtype = x_base_type if x_base_type else np.float32

    output_matrix = np.eye(N=row, M=col, k=k, dtype=np_dtype)
    return hbir.constant(values=output_matrix, output_type=y)","hbir.constant
",{'hbir.constant': {'input/output': 'No limits'}}
Flatten,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    axis=1,
):
    original_shape = adaptor.operands[0].type.shape
    new_shape = [1, 1]
    for i in range(axis):
        new_shape[0] *= original_shape[i]
    for i in range(axis, len(original_shape)):
        new_shape[1] *= original_shape[i]
    return hbir.reshape(data, shape=new_shape, output_type=y)
//opset18
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    *,
    axis=1,
):
    original_shape = adaptor.operands[0].type.shape
    total_elem_num = np.prod(original_shape).astype(int)
    new_shape = [1, total_elem_num]
    if axis != 0:
        new_shape[0] = np.prod(original_shape[:axis]).astype(int)
        new_shape[1] = int(total_elem_num / new_shape[0])

    return hbir.reshape(data, shape=new_shape, output_type=y)","hbir.reshape
","{'hbir.reshape': {'input': ['{No limits}'], 'output': ['{Same as input}']}}"
Gather,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    indices: mlir.Value,
    axis=0,
):
    return hbir.index(x, index=indices, dim=axis, output_type=y)
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    indices: mlir.Value,
    axis=0,
):
    return hbir.index(x, index=indices, dim=axis, output_type=y)
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    x: mlir.Value,
    indices: mlir.Value,
    axis=0,
):
    return hbir.index(x, index=indices, dim=axis, output_type=y)","hbir.index
","{'hbir.index': {'input': ['{Type: int8, int16, int32, float16, float32}\n{Shape: [*]}\n{Dim: select dim ∈ [1, 32768]}\n{if input is not 4-D tensor, input will transpose to  [N, warpH, warpW, C], warpH is reduce mul from shape[1] to shape[dim-1], warpW is the size of the select dim }\n{if input is 4-D tensor but select dim is not dim2, input will reshape to  [N, warpH, warpW, C], warpH is the size of the dim2, warpW is the size of the select dim }\n{warpH, warpW ∈ [1, 4096]. If input type is int8, warpH, warpW ∈ [1, 32768]. warpH and warpW cannot both be greater than 4096 at the same time.\n      }'], 'index': ['{Type: int8, int16, int32, int64}\n{Shape: [*] index value should not be larger than 32768}'], 'output': ['{Same as input except Dim constraints}']}}"
GatherElements,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    axis=0,
):
    return hbir.gather_elements(data, indices, dim=axis)
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    axis=0,
):
    return hbir.gather_elements(data, indices, dim=axis)
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    axis=0,
):
    return hbir.gather_elements(data, indices, dim=axis)","hbir.gather_elements
","{'hbir.gather_elements': {'input': ['{Type: int8, int16, int32, float16, float32}\n{Shape: [*]}\n{Dim: select dim ∈ [1, 32768]}\n{input shape will legalize at least rank 3, the new shape will be [*, H, W, C]}\n{The legalization rules are as follows: }\n<ul>\n{rank = 1: expand shape [W] -&gt; [1, W, 1], dim+1}\n{rank = 2: expand shape [H, W] -&gt; [H, W, 1]}\n{rank = 3: }\n{\xa0 a. dim = 0 or dim = 1, no legalization}\n{\xa0 b. dim = 2 expand shape [K, H, W] -&gt; [K, H, W, 1].}\n{rank &gt; 3: }\n{\xa0 a. dim = rank-1, reshape [*, K, H, W] -&gt; [N, H, W, 1], dim - (rank-3)}\n{\xa0 b. dim = rank-2 or dim = rank-3, reshape [*, H, W, C] -&gt; [N, H, W, C], dim - (rank-4).}\n</ul>\n{If the input rank is greater than 3, dim should be the last three dimensions.}\n{H, W ∈ [1, 4096]. If input type is int8, H, W ∈ [1, 32768]. H and W cannot both be greater than 4096 at the same time.\n      }'], 'indices': ['{Type: int8, int16, int32, int64}\n{Shape: [*] indices value should not be larger than 32768}\n{indices is legalized in the same way as input and should be broadcast on C channel. [..., C0] = [..., C1] = [..., Cn]}\n{Except H, W, all other dimensions must be equal to input}'], 'output': ['{Same as input except Dim constraints}']}}"
GatherND,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    batchDims=0,
):
    return hbir.gather_nd(data, indices, batchDim=batchDims, output_type=y)
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    batchDims=0,
):
    return hbir.gather_nd(data, indices, batchDim=batchDims, output_type=y)
//opset12
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    batchDims=0,
):
    return hbir.gather_nd(data, indices, batchDim=batchDims, output_type=y)
//opset13
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    data: mlir.Value,
    indices: mlir.Value,
    *,
    batchDims=0,
):
    return hbir.gather_nd(data, indices, batchDim=batchDims, output_type=y)","hbir.gather_nd
",{'hbir.gather_nd': 'Unsupported'}
Gemm,"//opset9
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    input_a: mlir.Value,
    input_b: mlir.Value,
    input_c: mlir.Value,
    *,
    alpha=1.0,
    beta=1.0,
    transA=0,
    transB=0,
):
    assert len(adaptor.operands[0].type.shape) == 2
    assert len(adaptor.operands[1].type.shape) == 2
    input_a = adaptor.operands[0].value
    input_b = adaptor.operands[1].value

    if transA:
        input_a = hbir.transpose(input_a, (1, 0))
    if transB:
        input_b = hbir.transpose(input_b, (1, 0))

    # res = alpha * (a * b) + beta * c
    res = hbir.mul(alpha, hbir.matmul(input_a, input_b))
    res = hbir.add(res, hbir.mul(beta, input_c), output_type=y)
    return res
//opset11
def emit_mlir_op(
    self,
    adaptor: NodeAdaptor,
    y: mlir.Type,
    input_a: mlir.Value,
    input_b: mlir.Value,
    *args,
    alpha=1.0,
    beta=1.0,
    transA=0,
    transB=0,
):
    assert len(adaptor.operands[0].type.shape) == 2
    assert len(adaptor.operands[1].type.shape) == 2
    input_a = adaptor.operands[0].value
    input_b = adaptor.operands[1].value

    if transA:
        input_a = hbir.transpose(input_a, (1, 0))
    if transB:
        input_b = hbir.transpose(input_b, (1, 0))

    # res = alpha * (a * b) + beta * c
    res = hbir.mul(
        alpha, hbir.matmul(input_a, input_b, output_type=y), output_type=y
    )
    if args:
        res = hbir.add(res, hbir.mul(beta, args[0]), output_type=y)
    return res","hbir.transpose
hbir.transpose
hbir.mul
hbir.matmul
hbir.add
hbir.mul
","{'hbir.transpose': {'input': ['{No limits}'], 'output': ['{Same as input}']}, 'hbir.mul': {'lhs': ['{Type: int8, int16}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}, 'hbir.matmul': {'lhs': ['{Type: int8, int16; lhs and rhs cannot both be int16}\n{Shape: [*,M,C]}\n{Dim: * ∈ [1, 4096], M,C ∈ [1, 8192]}'], 'rhs': ['{Type: int8, int16; lhs and rhs cannot both be int16}\n{Shape: [*,C,N]}\n{Dim: * ∈ [1, 4096]; C,N ∈ [1, 8192]}'], 'output': ['{Type: int8, int16, int32}\n{Shape: [*,M,N]}\n{Other constraints: Same as lhs}']}, 'hbir.add': {'lhs': ['{Type: int8, int16, int32, if type is int32, this hbir.add op must be fusible to a Conv op}\n{Shape: [*]}'], 'rhs': ['{Same as lhs}'], 'output': ['{Same as lhs}']}}"
GlobalAveragePool,"//opset9
def emit_mlir_op(self, adaptor: NodeAdaptor, y: mlir.Type, x: mlir.Value):
    return hbir.reduce_mean(x, dims=[-2, -1], keepDim=True, output_type=y)","hbir.reduce_mean
","{'hbir.reduce_mean': {'input': ['{Type: int8, int16}\n{Shape: [*]}\n{Dim: reduce axis dim size ∈ [1, 65535]}\n{Element : reduce Elements size ∈ [1, 65535]}'], 'output': ""{Same as input, ReduceArgMax/ReduceArgMin's output can be of type int32 or int64, as long as the size of the reduced axis can be represented using an int16 number}""}}"
